 Fx_Air  , Fx_L1   , Fx_L2   , Fx_R1   , Fx_R2   , Fy_Air  , Fy_L1   , Fy_L2   , Fy_R1   , Fy_R2   , Fz_Air  , Fz_L1   , Fz_L2   , Fz_R1   , Fz_R2   , Roll    , Roll_L1 , Roll_L2 , Roll_R1 , Roll_R2 , Yaw     , Yaw_L1  , Yaw_L2  , Yaw_R1  , Yaw_R2  
-325.9730342,-3926.411695,-1567.747793,-3279.150134,-1161.445939,-0.613745545,-1382.435289,-110.3850051,-1249.588725,-12.2819722,195.5833919,4029.250538,1683.116609,3385.281112,1193.250237,-0.150257709,0.735604047,1.116996627,-1.056039578,-1.324213747,-80.5421501,-83.8359727,-80.66124277,-84.33853125,-80.44430742
-321.7066005,-3575.333119,-1818.251167,-2723.258627,-1026.833436,-0.630268367,-2043.911079,-113.0379447,-1641.597494,-23.60290663,193.0235024,3994.008161,1828.157909,3070.25303,986.6525823,-0.263450187,0.666983297,0.969937503,-1.174131314,-1.361193515,-80.64729923,-85.67343246,-80.74951604,-86.34598204,-80.58121619
-317.779295,-2900.336833,-2199.587765,-2070.067622,-962.820762,-0.841873433,-2965.927718,-154.1494439,-2002.496804,-32.2069009,190.6667506,4022.71048,2163.785896,2782.305448,908.8881379,-0.412137414,0.506890116,0.821714964,-1.293315216,-1.440210102,-80.81650945,-87.54859996,-80.91100644,-88.46516873,-80.77975766
-314.2003643,-2098.589528,-2659.139948,-1392.033337,-960.0149166,-1.40814244,-3800.579111,-259.522361,-2157.565211,-43.69349373,188.5178858,4231.124446,2604.959638,2493.543278,907.4118754,-0.590028563,0.298024192,0.693157711,-1.383286817,-1.559703005,-81.0774539,-89.5338879,-81.17677391,-90.77873967,-81.06395009
-310.7483844,-2354.402281,-2972.388558,-881.5626797,-976.9410377,-2.667491128,-3913.483781,-448.7981751,-2145.502307,-62.6331159,186.4406109,4535.811397,2943.998177,2277.756616,928.6365905,-0.770359736,0.185817167,0.617380716,-1.425667246,-1.693249509,-81.44570062,-91.59285509,-81.56253765,-93.24309903,-81.44865177
-307.1251067,-2960.513613,-3058.289768,-677.7211337,-1072.225903,-4.600213619,-3524.044789,-665.4186976,-2188.890316,-99.31707773,184.2499343,4635.816119,3065.323489,2257.063042,1022.051654,-0.890042673,0.183828415,0.615856283,-1.498063262,-1.775459446,-81.89536204,-92.49798946,-82.03216671,-94.2730995,-81.90814942
-303.4242731,-2836.000635,-2994.408274,-757.5070393,-1296.453334,-6.908653802,-3282.194519,-809.0839157,-2338.145736,-175.5612111,181.9977643,4364.17871,3014.499694,2426.254005,1237.943368,-0.908828973,0.2374565,0.672550497,-1.53141426,-1.760982358,-82.39359559,-92.88537975,-82.54318608,-94.63003,-82.4089243
-299.6591565,-2503.760167,-2860.150886,-1550.178413,-1482.505767,-9.51255149,-3236.578309,-872.2982593,-2356.049559,-318.0206153,179.6877083,4068.282111,2872.75091,2800.239361,1431.760842,-0.862470918,0.281232929,0.749652945,-1.520256336,-1.677709238,-82.9411315,-92.60429855,-83.09601257,-94.13343397,-82.95156572
-295.8852621,-2127.780868,-2735.720206,-1982.331628,-1464.269861,-12.56170732,-3369.798752,-880.6598018,-2149.75443,-555.8929786,177.3434165,3897.332531,2745.493855,2887.349953,1488.450768,-0.8072649,0.270184253,0.805303856,-1.544327042,-1.56665362,-83.55787184,-91.7541274,-83.71293883,-92.94817696,-83.5591425
-292.3784262,-2156.371285,-2745.661504,-1951.120002,-1229.756409,-16.0607906,-3386.584877,-949.2627229,-1954.014737,-848.8601574,175.1214752,3888.828273,2778.185191,2683.625152,1452.746262,-0.789187518,0.223558186,0.84157343,-1.625344165,-1.474558786,-84.2538505,-90.80733281,-84.40767126,-91.69686687,-84.24684659
-288.9144771,-3035.331528,-2806.15626,-1792.828607,-1119.161342,-19.93364644,-2948.063293,-1081.833091,-1935.797675,-891.6332984,172.8810332,4102.663896,2885.057189,2526.064961,1374.245043,-0.807344078,0.194543688,0.867007469,-1.749632614,-1.489420152,-85.00904916,-89.83791667,-85.16258701,-90.48382816,-84.9957805
-285.3487085,-3789.54167,-2760.421154,-1533.42636,-1147.622831,-23.94640941,-2250.773644,-1203.529597,-2128.13061,-792.7731702,170.5393228,4286.995442,2894.432141,2511.804199,1318.328849,-0.822974957,0.203525611,0.893558124,-1.889505444,-1.539678161,-85.78344807,-88.84508431,-85.93734453,-89.31635062,-85.76728421
-281.7186575,-4133.838872,-2579.883017,-2023.398599,-1199.196723,-27.91457581,-1632.036915,-1242.735901,-1996.482283,-704.214975,168.1278193,4320.799846,2753.050891,2767.435157,1314.296483,-0.804555909,0.237966382,0.920857165,-1.933160935,-1.548813204,-86.54637484,-87.7495223,-86.69813896,-88.12195379,-86.53009465
-277.9555274,-3978.011259,-2342.739028,-2863.617495,-1245.850166,-31.80646798,-1473.455905,-1197.901052,-1462.189417,-654.1295259,165.6093794,4129.986094,2534.306666,3132.526369,1338.725578,-0.753283803,0.255130918,0.942439856,-1.882568161,-1.512590628,-87.28925739,-86.63893929,-87.4346416,-86.99725896,-87.27390517
-274.2489045,-3528.578285,-2186.874024,-3330.420618,-1288.091177,-35.67814219,-1391.566378,-1163.324498,-894.0081903,-662.7401356,163.0972236,4036.610958,2394.492406,3339.246015,1388.249231,-0.695915544,0.246364978,0.965418541,-1.827999983,-1.453340859,-88.02522909,-85.55948033,-88.16102934,-85.97970971,-88.01025061
-270.7015091,-3363.219036,-2136.348175,-3513.806444,-1296.188656,-39.66673508,-502.0208026,-1192.303525,-397.9447812,-751.8903064,160.6448297,4081.212518,2375.124903,3413.069762,1440.23142,-0.650146936,0.318947598,0.997049195,-1.792635444,-1.383287214,-88.75919456,-84.45487662,-88.88502315,-84.99466486,-88.74293813
-267.2572507,-3175.64933,-2104.07383,-3590.684672,-1314.155003,-43.63965259,686.8311415,-1264.347429,-12.30350836,-923.258033,158.2301139,3996.38691,2390.532235,3460.168985,1544.828598,-0.597031797,0.454622106,1.054156367,-1.75225176,-1.285746864,-89.45921657,-83.52229756,-89.577053,-84.20551572,-89.43896642
-263.852002,-3166.462445,-2086.239603,-3462.849665,-1293.981512,-47.05634156,109.8513599,-1377.901001,-264.8571982,-1150.441803,155.8659664,3917.556032,2438.270058,3342.735992,1663.22067,-0.545433308,0.46723376,1.129924574,-1.738474221,-1.17853028,-90.08418068,-85.08554089,-90.19711477,-85.67881382,-90.05671326
-260.4329668,-2794.558875,-2175.399106,-3108.039695,-1129.432165,-49.30565395,-1455.122581,-1644.064077,-937.6709003,-1311.692687,153.5860468,3934.860799,2658.936158,3116.680031,1656.533958,-0.554729883,0.260555547,1.206169069,-1.825530908,-1.154712921,-90.64126703,-86.41251982,-90.75362844,-86.96265725,-90.60505918
-257.1470872,-2606.518767,-2284.988871,-2718.430742,-885.5581835,-50.70277897,-2312.014934,-2130.285753,-1009.942777,-1333.787804,151.4602011,4058.032093,3049.219514,2772.045343,1525.516767,-0.65858323,0.039195288,1.281450586,-1.913090437,-1.260758178,-91.17133719,-87.13609393,-91.29048415,-87.67525584,-91.12971978
-254.0384751,-2408.360198,-2192.094696,-2347.858172,-691.4865774,-51.61842118,-2772.130245,-2743.168822,-959.3850021,-1201.515042,149.4847395,4210.229537,3422.173118,2418.191637,1316.434756,-0.833921479,-0.187944276,1.355925879,-2.032512487,-1.474627896,-91.680304,-87.73469772,-91.81598411,-88.27054993,-91.63890734
-251.1563744,-2217.631496,-1894.293875,-2093.422295,-599.3642797,-52.11050658,-3088.626932,-3284.034773,-886.5277693,-1042.428252,147.6859437,4328.911108,3686.74179,2163.990554,1142.952132,-1.029285586,-0.405956081,1.406035452,-2.156548765,-1.706095842,-92.15953082,-88.24965436,-92.31779269,-88.78603061,-92.12410513
